orbit,repIndex,total,圖形一,圖形二,圖形三,圖形四,圖形五,圖形六,圖形七,圖形八,圖形九,圖形十,圖形十一,圖形十二,圖形十三
1,2277,80303,40,2688,116,76416,8,4,66,60,40,32,177,648,8
2,2378,81116,40,2864,118,77024,8,8,50,50,34,68,240,604,8
3,2385,86769,42,2952,126,82304,8,8,46,66,74,64,267,804,8
4,2396,89370,42,2968,122,85120,8,7,68,52,76,52,195,652,8
5,2400,91200,42,2984,122,86784,8,8,74,50,62,60,234,764,8
6,3789,83153,38,2720,114,78752,8,8,106,96,70,58,303,840,40
7,3814,82021,44,2752,122,77664,8,3,100,96,82,58,252,832,8
8,3815,78901,36,2808,122,74688,8,3,94,64,58,44,252,716,8
9,3839,87460,40,2992,130,82880,8,8,108,82,120,60,228,796,8
10,3864,87290,46,3056,120,82528,8,8,106,112,54,58,234,936,24
11,3865,86897,40,2848,118,82528,8,6,100,80,58,52,231,812,16
12,3866,87039,46,2968,120,82528,8,7,108,82,58,56,234,808,16
13,3869,91450,46,2840,116,87136,8,10,96,86,54,74,276,700,8
14,3895,86641,50,2864,128,82528,8,9,70,64,48,40,264,536,32
15,3898,95053,52,3176,126,90304,8,8,66,80,82,78,297,768,8
16,3901,90693,58,3096,144,86112,8,10,72,68,66,58,297,696,8
17,3921,89542,42,3136,144,84960,8,10,78,92,66,94,252,636,24
18,3922,88424,40,3232,130,83680,8,7,80,126,76,114,291,624,16
19,4211,86379,44,3136,136,81664,8,2,68,92,100,60,261,792,16
20,4223,97689,54,3048,118,92736,8,11,104,62,86,84,354,1008,16
21,4224,97524,54,2952,118,92736,8,11,96,64,78,84,375,940,8
22,4225,98229,48,2992,116,93312,8,10,108,70,82,64,375,1036,8
23,4253,87961,44,2880,118,83520,8,8,86,76,56,88,285,784,8
24,4290,89567,42,3008,126,85184,8,8,46,42,64,58,189,776,16
25,4313,92884,44,2992,122,88192,8,12,66,90,72,72,270,936,8
26,4404,81597,44,2912,138,76928,8,9,92,72,68,56,234,1028,8
27,4405,81931,44,3224,150,76928,8,6,90,66,82,74,255,996,8
28,4406,81507,44,2912,138,76928,8,8,82,80,88,56,243,912,8
29,5449,92918,44,3024,124,88064,8,10,90,80,88,94,264,1020,8
30,5496,77464,40,2512,114,73600,8,8,62,68,66,68,186,724,8
31,5540,74808,40,2896,120,70912,8,3,40,26,32,32,171,520,8
32,5614,90100,42,3120,116,85376,8,6,66,92,88,76,306,796,8
33,5672,83842,44,2544,122,79744,8,9,78,78,58,84,261,804,8
34,5673,83900,44,2656,126,79744,8,15,66,88,48,78,243,776,8
35,5724,81754,44,2840,112,77472,8,4,50,48,52,68,228,812,16
36,5775,86059,44,2960,116,81568,8,5,86,64,52,86,222,824,24
37,5776,86007,44,2976,124,81568,8,9,68,50,62,74,264,752,8
38,5788,85172,42,3120,120,80320,8,5,96,112,76,62,279,924,8
39,5880,89571,46,2832,112,85056,8,7,74,76,86,60,246,960,8
40,5925,86408,46,3040,132,81664,8,5,34,66,82,88,291,944,8
41,6479,89529,52,3000,140,84864,8,8,60,60,96,78,267,880,16
42,6589,85326,42,2896,122,80768,8,10,68,92,56,84,252,912,16
43,6763,82703,46,2872,132,78336,8,6,66,70,102,70,243,712,40
44,6772,82693,46,2872,132,78336,8,5,64,72,68,80,246,756,8
45,7077,83438,38,3600,122,78144,8,9,94,68,52,54,249,984,16
46,7078,83078,38,3368,122,78144,8,8,64,46,56,54,282,880,8
47,7082,83284,42,3120,106,78656,8,3,52,40,66,62,297,824,8
48,7114,87620,44,3184,138,82624,8,6,92,96,62,104,270,976,16
49,7151,79506,44,3312,146,74944,8,2,56,58,60,58,198,604,16
50,7152,79801,44,3464,146,74944,8,3,66,38,64,48,264,704,8
51,7161,82063,36,3152,114,77216,8,9,64,90,70,42,234,1012,16
52,7194,83012,38,3296,122,78144,8,10,84,74,54,76,198,884,24
53,7195,82675,38,3064,122,78144,8,8,60,66,68,64,213,796,24
54,7219,81822,44,2808,128,77632,8,11,78,52,60,66,219,700,16
55,7220,81851,44,2840,128,77632,8,12,70,58,68,62,225,688,16
56,7249,84652,44,2848,108,80256,8,2,52,58,88,68,384,728,8
57,7257,84544,44,2928,132,80064,8,1,88,74,88,46,291,772,8
58,7258,84098,44,3504,144,78848,8,4,48,60,72,82,300,960,24
59,8729,84397,46,2800,120,80256,8,3,60,38,60,36,198,756,16
60,9380,74091,36,2600,106,70560,8,7,50,46,22,40,156,452,8
61,9417,83365,40,2912,118,79232,8,5,38,34,62,58,258,592,8
62,9453,73825,36,2312,106,70560,8,6,62,42,42,26,165,444,16
63,9744,80362,36,2912,106,76352,8,4,56,38,52,28,138,624,8
64,9745,80381,34,2960,110,76352,8,2,68,40,56,30,129,576,16
65,9918,77797,34,2416,100,74176,8,2,68,52,54,58,189,632,8
66,9919,77762,36,2416,102,74176,8,1,72,52,46,38,195,604,16
67,9920,77966,34,2560,100,74176,8,1,64,50,48,46,195,676,8
68,9943,73679,56,2528,126,70080,8,2,60,40,58,40,189,476,16
69,9944,73699,50,2528,124,70080,8,4,48,42,44,42,189,524,16
70,9954,74381,36,2528,106,70912,8,4,54,30,46,46,195,408,8
71,10033,77169,48,2720,128,73280,8,2,40,64,54,64,189,564,8
72,10034,77107,44,2672,124,73280,8,6,38,68,44,62,189,556,16
73,10136,75411,44,2640,114,71904,8,10,22,48,24,30,147,412,8
74,10158,78430,50,3104,124,74176,8,6,50,24,48,70,234,528,8
75,10159,78231,56,2960,126,74176,8,3,62,30,40,74,216,464,16
76,10370,76089,44,2904,126,71968,8,9,64,44,46,62,174,632,8
77,10378,81821,56,2584,120,78208,8,4,48,42,38,42,219,444,8
78,10407,82240,50,2672,124,78208,8,5,86,58,48,46,231,696,8
79,10594,71921,56,2752,128,68256,8,1,54,20,42,40,168,372,24
80,10632,74531,36,2552,106,70912,8,5,50,40,36,38,192,548,8
81,10860,77856,50,2576,124,74176,8,6,60,20,64,48,204,512,8
82,10893,78143,44,2784,122,74272,8,5,62,42,32,38,258,460,16
83,10895,78280,44,2904,122,74272,8,6,56,46,26,36,264,488,8
84,10929,81039,44,2712,122,77472,8,4,38,32,36,34,153,368,16
85,11217,75818,44,2600,126,71968,8,7,60,54,44,62,201,636,8
86,11219,75703,44,2544,126,71968,8,9,54,60,24,42,192,624,8
87,11222,75682,44,2544,126,71968,8,7,50,52,40,74,225,528,16
88,11269,81210,48,2760,128,77472,8,2,58,44,32,60,162,428,8
89,12160,88219,48,3216,130,83328,8,9,54,82,88,56,252,932,16
90,12290,80331,36,3032,114,75648,8,14,76,80,58,36,237,968,24
91,12346,80230,36,3160,108,75648,8,7,66,62,54,58,207,808,8
92,12407,80419,36,3256,114,75648,8,7,94,88,56,38,258,808,8
93,12546,86539,46,2824,124,82176,8,3,90,110,82,68,276,724,8
94,12586,86848,46,2968,124,82176,8,9,118,68,66,60,273,916,16
95,12660,77847,36,2784,112,73984,8,3,80,60,36,44,204,488,8
96,12778,75567,36,2808,116,71616,8,5,58,52,26,58,204,572,8
97,12781,81449,48,2952,136,77120,8,7,44,50,60,70,270,668,16
98,12785,79212,32,3232,102,74912,8,3,48,28,34,48,225,524,16
99,12865,76494,48,2752,126,72512,8,11,50,64,60,46,201,608,8
100,15212,82981,38,3408,124,78144,8,5,90,78,54,68,312,644,8
101,15213,83000,38,3304,124,78144,8,12,86,60,50,72,294,800,8
102,15223,83078,42,2968,110,78656,8,1,40,58,50,64,273,800,8
103,15250,90296,48,3128,116,85632,8,4,72,84,84,72,276,748,24
104,15322,81700,44,3000,134,77216,8,8,98,72,56,62,198,788,16
105,15325,82149,36,3152,126,77216,8,8,64,88,58,74,279,1032,8
106,15396,83018,38,3352,124,78144,8,8,86,50,68,74,270,780,16
107,15397,83156,38,3456,124,78144,8,11,104,54,60,64,309,768,16
108,15400,82917,38,3336,124,78144,8,7,70,90,50,76,282,684,8
109,15401,83151,38,3440,124,78144,8,13,92,62,60,80,270,812,8
110,15402,88009,48,3232,118,83200,8,6,76,64,70,76,255,840,16
111,15427,87954,48,3208,118,83200,8,6,76,88,54,52,240,848,8
112,16146,84940,38,3168,138,80192,8,7,84,68,100,52,285,792,8
113,16228,76166,36,2400,96,72448,8,9,82,52,52,48,231,688,16
114,16262,85331,40,3088,114,80768,8,6,64,66,74,72,219,804,8
115,16333,75900,36,2208,96,72448,8,6,54,64,48,40,252,632,8
116,16473,85507,46,2888,134,81216,8,3,66,64,74,60,228,696,24
117,16894,79234,42,3040,138,74912,8,14,42,38,40,46,210,696,8
118,17387,78878,40,2696,130,74816,8,5,54,52,64,56,237,696,24
119,17555,80122,42,3000,126,75648,8,5,78,68,64,52,195,828,8
120,17697,82278,42,3432,134,77248,8,14,70,72,64,48,210,920,16
121,17730,78871,40,2760,130,74816,8,4,50,46,64,58,207,672,16
122,17749,78866,40,2760,130,74816,8,6,38,50,78,72,216,636,16
123,23243,89122,44,3264,118,84000,8,12,88,90,102,100,300,988,8
124,23295,85468,52,2976,126,80928,8,6,80,70,68,58,348,740,8
125,25382,79546,40,2616,116,75552,8,8,54,64,94,52,246,680,16
126,26699,85847,42,3344,136,80928,8,6,52,76,60,70,225,884,16
127,26704,87635,42,3328,132,82848,8,4,102,56,66,74,255,712,8
128,26990,85401,44,3440,138,80640,8,6,62,52,58,60,237,648,8
129,27000,77666,40,2864,116,73600,8,3,80,54,44,28,177,644,8
130,27038,76858,40,2640,116,72960,8,2,62,62,46,48,222,644,8
131,36283,80388,40,2776,122,76032,8,6,76,82,40,70,240,888,8
132,36286,80461,48,2696,126,76032,8,6,68,88,62,94,189,1036,8
133,36301,87092,40,2856,112,82688,8,7,70,56,76,78,285,800,16
134,36304,88083,44,3120,128,83584,8,8,70,86,66,40,213,708,8
135,36307,94794,54,3000,128,90240,8,19,84,42,84,70,333,724,8
136,36328,80868,40,3128,146,76032,8,10,96,72,72,74,270,912,8
137,36329,80634,48,2840,134,76032,8,11,98,88,86,60,285,928,16
138,36379,90100,50,2904,126,85632,8,1,76,72,76,62,285,800,8
139,36401,90086,50,3336,138,84736,8,15,56,56,70,92,309,1204,16
140,36406,90175,42,3328,136,85120,8,3,64,64,88,98,240,976,8
141,36456,80745,40,3080,146,76032,8,8,80,58,94,60,231,892,16
142,36461,89908,52,3120,120,85120,8,9,106,60,78,50,285,892,8
143,36499,81414,50,2808,126,77056,8,7,86,74,48,60,219,856,16
144,36500,81452,50,2712,126,77056,8,9,108,60,52,58,213,992,8
