orbit,repIndex,mirrorIndex,jia,yi,bing,ding
1,2277,57116,RBBB RBBY RRRR RBRB RYRB RRBB,YBYB RBYB YYYY YYYB RYYB RRYY,RYBY RBYY BBBB RRYB RRRB RRRY,YBBB RYBB YYBB RRBY RYYY RYRY
2,2378,57305,RBBB RBBY RRRR RBRB RYRB RRBB,YBYB RYYB YYYY RRBY RYYY RYRY,RYBB YBBB BBBB RRRB RBYY RYBY,YYBB RBYB YYYB RRYY RRYB RRRY
3,2385,57315,RBBB RBBY RRRR RBRB RYRB RRBB,YBYB RYYB YYYY RRBY RRYY RRRY,RYBB YYBB BBBB RRRB RBYY RYYY,YBBB RRYB YYYB RBYB RYBY RYRY
4,2396,57217,RBBB RBBY RRRR RBRB RYRB RRBB,YBYB RRYB YYYY RBYB RYBY RYRY,RYBB YYBB BBBB RRRB RBYY RYYY,YBBB RYYB YYYB RRBY RRYY RRRY
5,2400,57222,RBBB RBBY RRRR RBRB RYRB RRBB,YBYB RRYB YYYY RBYB RYBY RYRY,YYYB RRBY BBBB RYYB RRRB RRYY,YBBB RYBB YYBB RBYY RYYY RRRY
6,3789,30913,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB RYBB YYYY YYBB RRYY RBYB,YYYB RBYY BBBB RRYB RYRB RYYY,RRBB RRBY RBRB RRRY RRRB RYRY
7,3814,30972,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB YYYB YYYY RBYB RBYY RRYY,YYBB RRBB BBBB RRYB RYRB RYRY,RYBB RBRB RRRB RRRY RRBY RYYY
8,3815,30968,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB YYYB YYYY RBYB RBYY RRYY,RYBB YYBB BBBB RYRB RRBY RYYY,RRBB RBRB RRYB RYRY RRRB RRRY
9,3839,30983,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB RBYB YYYY RBYY YYYB RYRY,RYBB YYBB BBBB RRRB RRBY RRYY,RRBB RBRB RRYB RYYY RYRB RRRY
10,3864,31017,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB RRYB YYYY RBYY RYYY RYRY,RRBB YYBB BBBB RRBY YYYB RRYY,RYBB RBRB RYRB RRRB RBYB RRRY
11,3865,31015,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB RRYB YYYY RBYY RYYY RYRY,RRBB YYBB BBBB RRBY YYYB RRYY,RYBB RRRB RBYB RRRY RBRB RYRB
12,3866,31016,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB RRYB YYYY RBYY RYYY RYRY,RRBB YYBB BBBB RRBY YYYB RRYY,RYBB RRRB RBRB RRRY RBYB RYRB
13,3869,31025,RBBB RBBY RRRR RYYB RYBY YBBB,YBYB RRYB YYYY RBYY RRYY RRRY,RYBB RRBB BBBB RRRB RYRB RYRY,YYBB RRBY RBYB RYYY RBRB YYYB
14,3895,31041,RBBB RBBY RRRR RYYB RYBY YBBB,RBYB RRYB YYYY YYYB RYYY RRYY,RRBB RYBB BBBB RRBY YBYB RRRB,YYBB RYRB RBRB RRRY RBYY RYRY
15,3898,31048,RBBB RBBY RRRR RYYB RYBY YBBB,RBYB RRYB YYYY RBYY RYYY RRRY,RRBB YYBB BBBB RRBY YYYB RRYY,RYBB RBRB RYRB RRRB YBYB RYRY
16,3901,31146,RBBB RBBY RRRR RYYB RYBY YBBB,YYBB RYBB YYYY RYYY RRYY RRBB,YBYB RBYY BBBB RRYB RBRB RBYB,YYYB RRRB RYRY RYRB RRBY RRRY
17,3921,31208,RBBB RBBY RRRR RYYB RYBY YBBB,YYBB RRYB YYYY RRYY RYRB RBRB,RRBB RYBB BBBB RRBY YBYB RRRB,RBYB YYYB RYYY RBYY RYRY RRRY
18,3922,31213,RBBB RBBY RRRR RYYB RYBY YBBB,YYBB RRYB YYYY RRYY RYRY RYRB,RRBB RYBB BBBB RRBY YBYB RRRB,RBYB YYYB RYYY RBRB RBYY RRRY
19,4211,31354,RBBB RBBY RRRR RYYB RYYY YYBB,YBBB RBYB YYYY RBYY YYYB RYRB,RRBB RYBB BBBB RRBY YBYB RRRB,RYBY RBRB RYRY RRRY RRYB RRYY
20,4223,31372,RBBB RBBY RRRR RYYB RYYY YYBB,YBBB RRYB YYYY RBYY RRYY RRRB,YBYB RYBY BBBB RBYB RRBY RRBB,RYBB RBRB RYRB RRRY YYYB RYRY
21,4224,31371,RBBB RBBY RRRR RYYB RYYY YYBB,YBBB RRYB YYYY RBYY RRYY RRRB,YBYB RYBY BBBB RBYB RRBY RRBB,RYBB RYRB RBRB RRRY YYYB RYRY
22,4225,31373,RBBB RBBY RRRR RYYB RYYY YYBB,YBBB RRYB YYYY RBYY RRYY RRRB,YBYB RRBY BBBB RYBY RBYB RBRB,RYBB RRBB RYRB RRRY RYRY YYYB
23,4253,31471,RBBB RBBY RRRR RYYB RYYY YYBB,YBYB RYBB YYYY RRBY RYRY RYBY,RRBB YBBB BBBB RBRB RBYY RBYB,YYYB RRYB RRYY RRRY RRRB RYRB
24,4290,31468,RBBB RBBY RRRR RYYB RYYY YYBB,YBYB RBYB YYYY RRBY RYBY RYRY,RYBB RRBB BBBB RRRB RBRB RYRB,YBBB RRYB YYYB RBYY RRYY RRRY
25,4313,31461,RBBB RBBY RRRR RYYB RYYY YYBB,YBYB RRYB YYYY RBYY RRYY RRRY,RYBB RRBB BBBB RRRB RYRB RYRY,YBBB RRBY RBYB RYBY RBRB YYYB
26,4404,31591,RBBB RBBY RRRR RYYB RYYY YYBB,YYYB RYBY YYYY RRYY RYRB RBYY,YBBB RYBB BBBB RRYB RBYB RBRB,RRBB YBYB RRBY RRRY RRRB RYRY
27,4405,31592,RBBB RBBY RRRR RYYB RYYY YYBB,RBYY RYBY YYYY YYYB RRYY RYRB,YBBB RYBB BBBB RRYB RBYB RBRB,RRBB YBYB RRBY RRRY RRRB RYRY
28,4406,31589,RBBB RBBY RRRR RYYB RYYY YYBB,YYYB RYBY YYYY RRYY RYRB RBYY,RYBB YBBB BBBB RBRB RRBY RBYB,RRBB RRYB YBYB RYRY RRRB RRRY
29,5449,67090,RBBB RBBY RRRR RYRB RYRY RRBB,YBBB RRYB YYYY RBYY RRYY RRRB,YYYB RBYB BBBB RYYB RBRB YYBB,RYBB YBYB RYBY RRRY RRBY RYYY
30,5496,67253,RBBB RBBY RRRR RYRB RYRY RRBB,YBYB YYBB YYYY RYBY RRYY RBYY,RYBB YBBB BBBB RBRB RRBY RBYB,YYYB RRYB RYYY RYYB RRRB RRRY
31,5540,67309,RBBB RBBY RRRR RYRB RYRY RRBB,YBYB YYYB YYYY RBYY RYYY RRYY,RYBB YBBB BBBB RBRB RRBY RBYB,YYBB RRYB RYBY RYYB RRRB RRRY
32,5614,67252,RBBB RBBY RRRR RYRB RYRY RRBB,YBYB RBYB YYYY RYBY RRYB RRYY,RYBB YYBB BBBB RBRB RBYY YYYB,YBBB RRBY RRRB RYYB RRRY RYYY
33,5672,67336,RBBB RBBY RRRR RYRB RYRY RRBB,YBYB RRYB YYYY RBYY RRYY RRRY,RYBB YBBB BBBB RBRB RRBY RBYB,YYBB RRRB RYYB YYYB RYBY RYYY
34,5673,67335,RBBB RBBY RRRR RYRB RYRY RRBB,YBYB RRYB YYYY RBYY RRYY RRRY,RYBB YBBB BBBB RBRB RRBY RBYB,YYBB RRRB RYYB YYYB RYYY RYBY
35,5724,67447,RBBB RBBY RRRR RYRB RYRY RRBB,RBYB YYYB YYYY RRBY RYYY RRYY,RYBB YBBB BBBB RBRB RBYY YBYB,YYBB RRYB RYBY RYYB RRRB RRRY
36,5775,67455,RBBB RBBY RRRR RYRB RYRY RRBB,RBYB RYYB YYYY RRBY RYYY RRRY,RYBB YBBB BBBB RBRB RBYY YBYB,YYBB RRYB RYBY YYYB RRRB RRYY
37,5776,67456,RBBB RBBY RRRR RYRB RYRY RRBB,RBYB RYYB YYYY RRBY RYYY RRRY,RYBB YBBB BBBB RBRB RBYY YBYB,YYBB RRRB RRYB YYYB RRYY RYBY
38,5788,67377,RBBB RBBY RRRR RYRB RYRY RRBB,RBYB RRYB YYYY YYBB RRYY RRRB,RYBB YBBB BBBB RBRB RBYY YBYB,YYYB RRBY RYBY RYYB RRRY RYYY
39,5880,67822,RBBB RBBY RRRR RYRB RYRY RRBB,YYBB RYBY YYYY RRYY RRRY RRYB,YBYB RRBY BBBB RYYB RBRB RBYB,YBBB RBYY RRRB RYBB RYYY YYYB
40,5925,67853,RBBB RBBY RRRR RYRB RYRY RRBB,YYBB RRYB YYYY RRYY RRRY RRRB,YBYB RRBY BBBB RYYB RBRB RBYB,YBBB RYBB YYYB RBYY RYYY RYBY
41,6479,14315,RBBB RBBY RRRR RRBB RRYY YBBB,YBYB RYBB YYYY RRBY RYRY RYBY,RBYB RBYY BBBB RBRB RYRB YYBB,YYYB RRYB RYYY RYYB RRRB RRRY
42,6589,14253,RBBB RBBY RRRR RRBB RRYY YBBB,YBYB RRYB YYYY RBYB RYBY RYRY,RYBB YYBB BBBB RBRB RBYY YYYB,RRBY RYRB RYYY RRRY RYYB RRRB
43,6763,14490,RBBB RBBY RRRR RRBB RRYY YBBB,YYYB RRYB YYYY RYYB RYBY RYRY,YBYB RBYY BBBB RBYB RYRB YYBB,RYBB RBRB RRRB RRRY RRBY RYYY
44,6772,14632,RBBB RBBY RRRR RRBB RRYY YBBB,YYYB RRYB YYYY RBYY RYRY RYBY,YBYB RBYB BBBB RYYB RYRB YYBB,RYBB RBRB RRRB RRRY RRBY RYYY
45,7077,48194,RBBB RBBY RRRR RRYB RRYY YYBB,YBYB RYBB YYYY RBYY RYYY RYBY,YBBB RRBB BBBB RYYB RBRB RBYB,YYYB RRRB RYRY RYRB RRBY RRRY
46,7078,48193,RBBB RBBY RRRR RRYB RRYY YYBB,YBYB RYBB YYYY RBYY RYYY RYBY,YBBB RRBB BBBB RYYB RBRB RBYB,YYYB RRRB RRRY RYRY RRBY RYRB
47,7082,48160,RBBB RBBY RRRR RRYB RRYY YYBB,YBYB RYBB YYYY RYBY RYRY YYYB,RRBB YBBB BBBB RBRB RBYY RBYB,RRBY RYRB RYYY RRRY RYYB RRRB
48,7114,48181,RBBB RBBY RRRR RRYB RRYY YYBB,YBYB RBYB YYYY RBYY YYYB RYRY,RYBB RRBB BBBB RBRB RYRB RYBY,YBBB RRBY RRRB RYYB RRRY RYYY
49,7151,48234,RBBB RBBY RRRR RRYB RRYY YYBB,RBYB YYYB YYYY RBYY RYYY RRRY,YBBB RYBB BBBB RYBY YBYB RBRB,RRBB RRRB RYYB RYRB RYRY RRBY
50,7152,48228,RBBB RBBY RRRR RRYB RRYY YYBB,RBYB RYYB YYYY YYYB RYYY RRRY,YBBB RYBB BBBB RYBY YBYB RBRB,RRBB RBYY RRRB RRBY RYRB RYRY
51,7161,48289,RBBB RBBY RRRR RRYB RRYY YYBB,YYYB RYBB YYYY RBYY RYRY YBYB,YBBB RRBB BBBB RYYB RBRB RBYB,RYBY RRRB RRBY RYRB RRRY RYYY
52,7194,48299,RBBB RBBY RRRR RRYB RRYY YYBB,RYBY RYBB YYYY RYYB RYYY YBYB,RRBB YBBB BBBB RBRB RBYY RBYB,YYYB RRRB RYRY RYRB RRBY RRRY
53,7195,48298,RBBB RBBY RRRR RRYB RRYY YYBB,RYBY RYBB YYYY RYYB RYYY YBYB,RRBB YBBB BBBB RBRB RBYY RBYB,YYYB RRRB RRRY RYRY RRBY RYRB
54,7219,48268,RBBB RBBY RRRR RRYB RRYY YYBB,RYBY RYYB YYYY RRRY RYYY RYRY,RYBB YBBB BBBB RBRB RBYY YBYB,RRBB YYYB RBYB RRRB RRBY RYRB
55,7220,48269,RBBB RBBY RRRR RRYB RRYY YYBB,RYYY RYYB YYYY RRRY RYRY RYBY,RYBB YBBB BBBB RBRB RBYY YBYB,RRBB YYYB RBYB RRRB RRBY RYRB
56,7249,48254,RBBB RBBY RRRR RRYB RRYY YYBB,RRBY YYYB YYYY RYRY RYYB RYBY,YBYB RBYY BBBB RBYB RBRB YBBB,RYBB RRRB RRBB RYRB RRRY RYYY
57,7257,48344,RBBB RBBY RRRR RRYB RRYY YYBB,YYYB RYYB YYYY RYYY RYRB YBBB,YBYB RYBY BBBB RBYB RRBY RRBB,RYBB RBRB RRRB RRRY RBYY RYRY
